Col 1,col 2,col 3,col 4,normalized column 1,standardized col 2,natural_log_amount col 3,log10_amount col 3
9707,245,495276,0.019599173,0.9701875837427423,-0.40810123976624185,13.112870461920798,5.694847283524347
8593,204,513860,0.016722454,0.8458016971862439,-0.671431023166613,13.149706133796036,5.710844812556962
9529,424,976523,0.009758091,0.9503126395712371,0.7415580584939145,13.791753582528916,5.989682476661713
4553,293,150696,0.030213144,0.3947074586869138,-0.09981271285849042,11.923019841462056,5.178101724769955
1418,285,142106,0.009978467,0.044662795891022775,-0.15119413400978232,11.864328536979858,5.152612415097634
2177,562,291927,0.007457344,0.1294104510942385,1.6278875733537,12.58425904999521,5.465274264253978
6420,425,376294,0.017061128,0.6031710585082626,0.7479807361378261,12.838126031729457,5.575527293558594
3428,419,41079,0.083448964,0.2690933452434122,0.7094446702743572,10.623252321000344,4.613619862876361
8162,332,552404,0.014775418,0.7976775346136669,0.15067171525405765,13.222034941620674,5.742256814677843
6804,64,210861,0.032267702,0.6460473425636445,-1.5706058933142213,12.258954427602859,5.3239962618113585
8191,35,139886,0.058554823,0.800915587315766,-1.7568635449876544,11.84858308416646,5.145774251825706
7406,185,344554,0.021494454,0.7132648503796337,-0.7934618984009312,12.75000610606349,5.53725729609614
3724,269,706162,0.005273577,0.3021438142027691,-0.25395697631236613,13.467599951909431,5.848904343594765
9850,513,23912,0.411927066,0.9861545332737829,1.313176368802037,10.082135703963774,4.378615902031224
9083,493,545820,0.016641017,0.9005136221527468,1.1847228159238072,13.210044530044163,5.737049445094415
3685,148,297762,0.012375656,0.2977891916033944,-1.0311009712256562,12.604049788672434,5.4738692728542855
8843,42,982045,0.009004679,0.8737159446181331,-1.711904801480274,13.797392411133927,5.992131388809267
6566,168,640013,0.010259167,0.619472979008486,-0.9026474183474265,13.369243767629559,5.806188795500957
7715,198,691130,0.011162878,0.7477668602054489,-0.7099670890300819,13.446083218195364,5.8395597448741645
1515,524,790161,0.001917331,0.0554935238945958,1.3838258228850635,13.579992001147676,5.897715590388734
3135,299,306379,0.010232425,0.23637784725323804,-0.061276646995021486,12.63257817664074,5.486258994326516
6949,313,601510,0.011552593,0.6622376060741403,0.028640840019739353,13.307198439362582,5.779242851806734
9369,402,352329,0.026591623,0.9324475212148281,0.6002591503278618,12.772320677149313,5.546948391184752
5606,382,360539,0.015548942,0.5122822688700313,0.4718055974496321,12.79535541293483,5.556952249828501
4378,155,184293,0.02375565,0.37516748548459133,-0.9861422277182759,12.12428216138478,5.265508839727441
